legacy_module,legacy_tool,responsibility,current_equivalent,current_owner,gap,decision,target_owner,migration_risk,replacement_evidence,source
unity_graphics_mcp,graphics.preview_plan,保存済みDirection Planが生むCreated / Modified / Dirty / Bake / Unsupported / Unverified候補を、Unity状態を変更せずに返します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CoreTools.cs
unity_graphics_mcp,graphics.refine_direction,Capture Evidenceに対する明示的なHuman Reviewだけを用いて、次IterationのDirection PlanをRead-onlyで作成します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/SaveTools.cs
unity_graphics_mcp,graphics.refine_from_evaluation,FAILEDまたはINCOMPLETEのVisual Evaluationを、問題箇所、Object ID、Performance Budgetを含む次Direction Planへ変換します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/VisualAcceptanceTools.cs
unity_graphics_mcp,graphics.refine_from_visual_review,REJECTEDまたはNEEDS_ADJUSTMENTで確定したVisual Reviewだけを用いて、次IterationのDirection PlanをRead-onlyで作成します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CaptureTools.cs
unity_graphics_mcp,graphics.start_apv_bake,承認済みAPV Bake Planを開始し、Job IDを返します。長時間処理はStatus Toolで追跡します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/VisualAcceptanceTools.cs
unity_graphics_mcp,graphics.submit_visual_review,Capture Evidence DigestへHuman Reviewを一度だけ確定し、ACCEPTED時は明示Confirmationを要求します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,high: mutation/approval or execution authority,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CaptureTools.cs
unity_graphics_mcp,graphics.undo_last_environment_transaction,対象StateとUndo Groupが適用直後から変化していない場合だけ、直近Environment Mutation Transactionを一括Undoします。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Mutation/EnvironmentMutation.cs
unity_graphics_mcp,graphics.undo_last_transaction,直近のMyUnityMCP Light TransactionがUndo Stackの最新で、適用後状態から変化していない場合だけUnity Undoで復元します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CoreTools.cs
unity_graphics_mcp,graphics.validate_scene,Loaded SceneのGraphics不整合をRead-onlyで検証し、Invariant、Policy、Heuristicを区別して返します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,ArtistSubAgent / UnityArtistCLI,medium: behavior or evidence parity,src/UnityArtist.Cli/Program.cs; Packages/com.darumappap.unity-artist/Editor/Commands/ArtistPipelineCommands.cs (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Tools/CoreTools.cs
unity_profiler_mcp,profiler.cancel_capture,Running中のProfiler Captureを協調Cancelします。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,PerformanceSubAgent + deterministic capture tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Profiler/UnityProfilerMcp.cs
unity_profiler_mcp,profiler.compare_baseline,同一EnvironmentのCapture SummaryをBaselineと比較します。異なる環境は拒否します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,PerformanceSubAgent + deterministic capture tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Profiler/UnityProfilerMcp.cs
unity_profiler_mcp,profiler.get_capture_status,Profiler Captureの進捗とCounter状態を取得します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,PerformanceSubAgent + deterministic capture tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Profiler/UnityProfilerMcp.cs
unity_profiler_mcp,profiler.inspect_counters,MyUnityMCPが対応するProfilerRecorder Counterの現在利用可否をRead-onlyで検査します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,PerformanceSubAgent + deterministic capture tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Profiler/UnityProfilerMcp.cs
unity_profiler_mcp,profiler.inspect_environment,Profiler Capture環境をRead-onlyで取得します。Editor値をTarget Device性能として表現しません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,PerformanceSubAgent + deterministic capture tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Profiler/UnityProfilerMcp.cs
unity_profiler_mcp,profiler.prepare_capture,Warmup、Sample数、Counterを検証し、Capture PlanをRead-onlyで作成します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,PerformanceSubAgent + deterministic capture tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Profiler/UnityProfilerMcp.cs
unity_profiler_mcp,profiler.start_capture,承認済みProfiler Capture Planを開始します。Project Assetは変更しません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,PerformanceSubAgent + deterministic capture tool,high: mutation/approval or execution authority,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Profiler/UnityProfilerMcp.cs
unity_profiler_mcp,profiler.summarize_capture,完了済みCaptureをMedian、p95、maxへ集計します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,PerformanceSubAgent + deterministic capture tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Profiler/UnityProfilerMcp.cs
unity_ui_mcp,ui.apply_rect_transform,承認済みRectTransform PlanをUndo対応で適用します。Saveは行いません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic scene tool,high: mutation/approval or execution authority,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/UI/UnityUiMcp.cs
unity_ui_mcp,ui.get_support_matrix,UI MCPのUGUI／UI Toolkit対応範囲を取得します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,UnityAgent deterministic scene tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/UI/UnityUiMcp.cs
unity_ui_mcp,ui.inspect,Loaded SceneのCanvas、RectTransform、UIDocumentをRead-onlyで取得します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic scene tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/UI/UnityUiMcp.cs
unity_ui_mcp,ui.prepare_rect_transform,RectTransformのAnchored Position、Size、Anchor、PivotをExact Previewし、承認Tokenを発行します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic scene tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/UI/UnityUiMcp.cs
unity_ui_mcp,ui.validate,Canvas重複、無効なRectTransform、UIDocument設定不足をRead-onlyで検証します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,UnityAgent deterministic scene tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/UI/UnityUiMcp.cs
world_creator,world.compile_workflow,Visual Goalを既存GraphicsMCPのRead-only Preflight Graphと、後続の承認制制作Handoffへ変換します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,WorldCreator planning contract / UnityAgent,medium: behavior or evidence parity,UnityAgent: Orchestration/Routing/task-routes.yaml (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/WorldCreator/UnityWorldCreatorMcp.cs
world_creator,world.create_review_handoff,World Preflight結果と制作意図を、人間が合否・修正指示を返せるReview Handoffへ変換します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,WorldCreator planning contract / UnityAgent,medium: behavior or evidence parity,UnityAgent: Orchestration/Routing/task-routes.yaml (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/WorldCreator/UnityWorldCreatorMcp.cs
world_creator,world.start_preflight,World WorkflowのRead-only Graphics PreflightをAgent経由で実行します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,WorldCreator planning contract / UnityAgent,high: mutation/approval or execution authority,UnityAgent: Orchestration/Routing/task-routes.yaml (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/WorldCreator/UnityWorldCreatorMcp.cs
